StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1031,19,Male,Asian,Some College,5.055317199023282,12,Yes,Very Low,0,1,0,0,3.3
1032,19,Male,Caucasian,Bachelor's,8.132730537699409,17,No,Very High,0,0,0,1,3.39
1033,22,Male,Caucasian,Bachelor's,7.663289371182516,25,No,Low,0,1,0,0,2.29
1034,20,Male,Other,Bachelor's,15.89325784795778,21,No,Very Low,1,1,0,0,2.71
1035,20,Male,Caucasian,Bachelor's,9.126336411019247,27,Yes,Moderate,1,1,0,0,2.86
1036,19,Male,Other,High School,3.415365200066738,23,No,Low,0,0,0,0,2.2
1037,22,Male,Caucasian,High School,5.344197909721482,26,Yes,Low,0,0,0,0,2.16
1038,19,Male,Asian,High School,10.18226770375044,21,Yes,Low,0,1,0,0,2.8
1039,19,Female,African American,High School,2.949078348522698,3,Yes,Low,1,1,0,0,4.26
1040,21,Female,Asian,High School,12.233113512920282,21,Yes,High,1,1,0,0,3.15
1041,21,Female,Other,Some College,11.314946131022918,23,Yes,Low,0,0,0,0,2.79
1042,21,Male,Caucasian,High School,14.294046327645153,7,No,Moderate,0,0,0,0,3.97
1043,20,Female,Other,Some College,18.754092307587353,12,Yes,Very High,0,0,0,0,4.11
1044,22,Female,Caucasian,High School,18.245091222023113,9,No,Moderate,0,1,0,0,4.17
1045,22,Female,Caucasian,High School,18.921512361376628,1,Yes,High,1,1,0,0,5.0
1046,22,Male,Caucasian,Some College,4.894311940474019,7,No,Very High,0,0,1,0,3.89
1047,22,Male,African American,Some College,2.6313061327870924,5,No,Low,1,0,0,0,3.92
1048,21,Male,Caucasian,Some College,6.04553400992897,15,No,Moderate,0,0,0,0,3.28
1049,20,Male,African American,Some College,17.90170345532629,17,No,High,0,0,1,0,3.57
1050,20,Female,African American,High School,19.441069492469765,16,No,Very High,1,0,0,0,3.85
1051,21,Female,Asian,Some College,17.18649902140952,5,No,High,0,0,0,0,4.2
1052,20,Female,Asian,No,2.200354422550872,12,Yes,Low,1,0,1,0,3.49
1053,21,Female,Caucasian,High School,18.948559961195862,22,No,Very High,0,0,1,0,3.18
1054,22,Male,Caucasian,Some College,8.46716054701572,13,No,Low,0,1,0,0,3.25
1055,21,Male,Caucasian,No,0.18620581524707358,29,Yes,Moderate,1,1,0,0,2.57
1056,22,Male,Caucasian,High School,8.847874814963872,25,No,Moderate,0,1,0,0,2.6
1057,22,Female,Caucasian,Higher,0.9213833935093518,20,No,Moderate,0,1,1,0,3.01
1058,19,Male,Caucasian,Higher,10.87755842322235,29,No,High,1,0,0,0,2.21
1059,21,Male,Caucasian,High School,6.771080548741026,9,Yes,High,0,1,0,0,3.96
1060,19,Female,Other,No,9.468698671880976,23,No,High,0,1,0,0,2.7
1061,21,Female,African American,High School,12.26340721486234,10,No,Very Low,1,0,1,0,3.42
1062,21,Male,Caucasian,High School,17.376021916356407,12,No,Moderate,0,0,1,0,3.75
1063,19,Male,African American,Bachelor's,13.238031529438572,11,No,High,0,1,0,0,3.68
1064,19,Male,Caucasian,High School,8.680977369563614,8,No,Moderate,0,1,0,0,3.79
1065,21,Male,Caucasian,Some College,16.388557073407302,3,Yes,Very High,0,0,0,0,4.51
1066,20,Male,African American,High School,18.111642751462643,6,Yes,High,1,0,0,0,4.45
1067,22,Male,Caucasian,Higher,2.3951993286439444,23,No,High,0,1,0,0,2.78
1068,19,Female,Caucasian,High School,10.638659551055829,28,No,Very Low,0,1,0,0,2.02
1069,22,Female,Other,Some College,5.690239194848883,21,Yes,High,0,0,1,0,3.0
1070,20,Female,Asian,High School,0.941223957538948,1,No,Very High,0,0,1,0,4.46
1071,20,Male,African American,Some College,13.370933902279706,6,No,Moderate,1,0,0,0,4.2
1072,20,Female,African American,High School,17.255415549184512,28,No,High,0,0,1,1,2.55
1073,19,Male,African American,High School,3.258053089547881,8,No,Moderate,1,1,0,0,3.92
1074,20,Male,Caucasian,Bachelor's,16.24827315247801,4,Yes,Moderate,0,0,0,0,4.48
1075,19,Female,Caucasian,Bachelor's,17.067914670738833,14,No,High,1,0,1,0,3.65
1076,20,Male,Caucasian,Bachelor's,18.28680885332967,17,No,High,0,1,0,0,3.39
1077,22,Male,Caucasian,Some College,5.305701781721048,3,No,High,0,0,0,0,4.05
1078,22,Female,African American,Bachelor's,18.079061303797786,18,Yes,Low,1,1,0,0,3.6
1079,21,Female,Caucasian,No,6.413255094728645,19,No,Low,0,0,0,0,2.73
1080,22,Female,Other,High School,11.046760269110056,25,No,High,0,1,0,0,2.75
1081,21,Male,Other,High School,1.0101494166456426,6,No,Low,0,1,0,0,3.56
1082,22,Female,Asian,Some College,0.8776217673748721,25,No,Moderate,0,0,0,0,2.38
1083,19,Female,African American,High School,14.407464254644058,7,No,Very Low,1,1,0,0,3.9
1084,22,Male,Asian,High School,8.88959955955582,16,No,Low,0,1,0,0,3.1
1085,21,Female,Caucasian,Some College,5.125847507384352,12,No,High,1,1,0,0,3.76
1086,21,Female,Asian,Bachelor's,3.808269920498204,23,No,High,0,0,0,0,2.87
1087,20,Female,Caucasian,High School,13.399069817184362,20,Yes,Low,1,0,1,1,3.14
1088,19,Male,Asian,High School,0.008030880506797455,27,No,Low,0,0,1,0,2.0
1089,22,Male,Caucasian,High School,16.117823383937086,22,No,Very Low,1,0,1,0,2.79
1090,20,Male,Asian,High School,1.5849921225985764,10,No,Moderate,0,0,1,1,3.67
1091,22,Male,Other,High School,3.829792298162389,26,No,Low,0,0,0,1,2.15
1092,22,Female,Caucasian,Some College,7.724727905981792,0,No,Moderate,1,1,0,0,4.63
1093,20,Male,Caucasian,Some College,9.697174794322072,1,Yes,High,0,0,0,0,4.66
1094,20,Male,Other,Some College,7.099902316278836,16,Yes,High,0,1,0,0,3.68
1095,20,Female,Caucasian,High School,6.414243299685878,4,No,Low,1,1,0,0,4.03
1096,20,Female,Asian,Bachelor's,19.278320241463767,29,No,High,0,0,0,1,2.55
1097,20,Female,African American,High School,12.831593624867885,29,No,Very High,0,0,1,0,2.72
1098,22,Male,Caucasian,Some College,0.46865910734776417,5,No,Moderate,0,1,0,0,3.92
1099,20,Male,Caucasian,Bachelor's,8.603518168886264,25,No,Moderate,1,0,1,1,2.56
1100,19,Male,Caucasian,High School,17.500173994879404,24,No,Moderate,0,0,0,0,2.54
1101,21,Female,Asian,High School,6.029123728213359,23,Yes,Low,1,1,0,1,2.95
1102,20,Female,Caucasian,Bachelor's,1.8911268954877647,6,No,High,1,0,1,1,3.89
1103,20,Male,African American,High School,15.167695431798355,27,No,High,1,1,0,0,2.71
1104,22,Female,Caucasian,Some College,12.120276638721625,20,Yes,Moderate,0,1,0,0,3.14
1105,20,Female,African American,No,11.406250156530078,29,No,High,1,0,0,0,2.49
1106,20,Female,Asian,Some College,1.0715311921481585,14,No,High,0,1,1,1,3.54
1107,20,Male,Other,High School,2.8099801959103465,18,No,Very Low,1,0,0,1,2.63
1108,22,Female,Caucasian,No,12.450987924262275,15,No,Low,0,1,0,0,3.1
1109,20,Female,Asian,Some College,4.156476829176716,24,Yes,High,1,1,0,0,3.12
1110,21,Male,Asian,High School,10.081401594968487,12,Yes,Very High,0,0,0,0,3.94
1111,22,Male,African American,High School,10.89763372058787,4,Yes,High,0,0,0,0,4.42
1112,21,Female,Other,No,5.670143805418788,2,Yes,Very High,0,0,1,0,4.66
1113,22,Female,Caucasian,High School,18.968503110829857,2,No,Moderate,0,0,0,0,4.32
1114,20,Male,Caucasian,High School,16.8492821367115,18,Yes,Low,0,1,1,0,3.44
1115,21,Male,Asian,No,14.44747015265597,13,Yes,Moderate,0,0,0,0,3.65
1116,22,Female,Caucasian,Bachelor's,1.5598773281881817,15,No,Very Low,0,0,0,1,2.66
1117,19,Female,Asian,No,2.122600386180389,21,No,High,1,0,1,0,3.01
1118,20,Female,Asian,Some College,9.855626917299114,16,No,Very High,0,0,0,0,3.36
1119,22,Female,Caucasian,High School,3.2142669838197135,26,No,High,0,1,0,0,2.46
1120,19,Male,Asian,High School,19.56530927058948,3,No,Moderate,1,0,1,1,4.71
1121,22,Female,Caucasian,Bachelor's,3.170404680548189,12,Yes,Low,1,1,0,0,3.63
1122,19,Female,African American,High School,9.74935670927948,7,Yes,Low,0,1,1,0,4.23
1123,20,Male,African American,Higher,7.282421136830108,18,No,Moderate,0,0,0,0,2.74
1124,21,Female,Other,High School,12.787728429081959,4,No,High,0,0,0,0,4.33
1125,19,Male,Caucasian,Some College,,1,Yes,Moderate,1,0,1,0,4.62
1126,22,Female,Caucasian,Some College,8.606328560847817,14,No,Very High,1,0,0,0,3.94
1127,20,Female,African American,Bachelor's,5.494100656142873,1,No,High,1,0,0,0,4.65
1128,19,Male,Asian,Some College,17.75503049343376,10,Yes,Low,0,1,0,0,4.11
1129,22,Male,African American,Some College,0.8117142426939017,12,Yes,Low,1,1,0,0,3.51
1130,22,Female,Caucasian,High School,18.274549880129186,22,Yes,High,0,0,0,0,3.03
1131,22,Female,Caucasian,High School,,9,No,Low,0,0,0,0,3.58
1132,19,Female,Caucasian,Bachelor's,5.951414328816309,2,No,High,0,0,0,0,4.27
1133,19,Male,Asian,High School,15.785813093542094,4,Yes,Moderate,0,1,0,0,4.69
1134,19,Female,Caucasian,High School,0.6242712067749512,2,No,Low,1,0,0,0,3.82
1135,21,Male,Caucasian,Some College,19.33731100586787,5,Yes,Moderate,1,0,0,0,4.37
1136,19,Male,Other,High School,10.531898851795788,12,No,Moderate,1,0,0,0,3.59
1137,19,Female,Caucasian,Higher,6.065620521308905,9,No,High,0,1,0,0,3.65
1138,19,Male,Other,Some College,7.2516642518935415,18,No,Very Low,1,0,1,1,2.89
1139,21,Female,African American,Some College,1.3281070692099473,7,No,High,1,0,0,0,4.05
1140,19,Female,Asian,Bachelor's,19.786990280840783,17,Yes,High,0,0,0,0,3.68
1141,22,Female,Caucasian,No,0.7858389030138491,2,No,High,1,0,0,0,4.35
1142,19,Female,Caucasian,High School,13.098142462957181,23,Yes,Very Low,1,1,0,0,2.78
1143,22,Female,Asian,Some College,8.854718554129166,23,Yes,High,0,0,0,0,2.61
1144,22,Male,Asian,High School,18.978324363774302,16,No,Moderate,1,0,1,0,3.53
1145,22,Male,Asian,Some College,4.919994806135904,7,Yes,Moderate,1,1,0,0,3.82
1146,21,Female,Caucasian,Bachelor's,10.641736478760226,9,No,High,1,0,0,0,3.99
1147,21,Female,Asian,Some College,9.64712417165506,1,Yes,Moderate,1,0,0,1,4.69
1148,21,Male,Asian,High School,14.057328881002027,11,No,High,0,1,0,0,3.74
1149,19,Male,African American,Higher,1.3602046390484102,22,No,Low,1,1,0,1,2.76
1150,22,Male,Asian,Some College,3.875782600467097,5,No,High,1,0,0,0,4.16
1151,21,Male,Asian,Some College,4.291296401856997,1,No,Low,0,1,1,0,4.1
1152,21,Female,African American,High School,14.763015096833794,20,Yes,High,0,1,0,0,3.32
1153,19,Female,Caucasian,Bachelor's,3.7827739265348015,22,No,Very High,1,0,0,1,2.84
1154,21,Male,Caucasian,Some College,11.469835277819534,23,No,Moderate,0,0,0,0,2.77
1155,19,Female,Caucasian,Some College,4.304876410019074,2,No,Moderate,1,0,0,0,4.31
1156,20,Male,Caucasian,Bachelor's,17.232499001679567,16,Yes,High,1,1,0,0,3.97
1157,21,Female,Caucasian,High School,18.84370908979277,28,No,Very Low,0,1,1,1,2.38
1158,20,Male,Caucasian,Some College,10.369859498844809,6,No,Moderate,0,0,0,0,4.09
1159,19,Female,Caucasian,Bachelor's,7.046177684183565,28,No,Moderate,0,0,0,0,2.19
1160,22,Male,Caucasian,High School,4.681155500349982,20,No,High,0,0,0,1,2.89
1161,21,Male,Asian,Some College,0.9956200304608753,4,Yes,High,1,0,0,1,4.53
1162,19,Female,Other,Bachelor's,5.370001523949908,22,Yes,High,0,0,0,0,2.97
1163,22,Male,Caucasian,Some College,13.084715598906358,0,Yes,High,0,0,1,1,4.79
1164,22,Female,Other,Some College,10.672338626184217,7,No,High,1,0,0,0,4.0
1165,20,Female,African American,Bachelor's,18.880825565618547,11,Yes,Moderate,1,0,0,0,3.78
1166,19,Male,Caucasian,Bachelor's,7.925545249834012,13,No,Moderate,0,1,0,0,3.22
1167,22,Female,Caucasian,High School,13.87726684656789,15,Yes,Moderate,1,1,0,0,3.9
1168,21,Female,African American,No,9.786454949502428,9,No,Very High,0,1,0,0,3.72
1169,21,Female,Asian,Some College,10.251524318484233,14,No,High,1,0,0,0,3.69
1170,20,Female,Asian,Some College,5.35548629208235,20,No,Moderate,0,1,0,0,2.99
1171,22,Female,Caucasian,Some College,9.099015536839994,23,No,High,0,1,0,0,2.71
1172,19,Male,Caucasian,Some College,9.415699940254145,25,No,Moderate,1,0,0,1,2.61
1173,21,Female,Caucasian,High School,14.132850434978678,14,Yes,High,0,0,0,0,3.75
1174,22,Female,Caucasian,Some College,18.81279998372228,9,No,Moderate,0,1,0,0,4.01
1175,22,Female,Caucasian,High School,6.586425549650086,20,Yes,Low,1,0,0,0,3.16
1176,20,Female,Caucasian,Some College,0.8440093716259689,27,No,High,1,0,0,0,2.15
1177,21,Female,Asian,Some College,9.925902510012794,6,No,High,0,0,0,0,4.06
1178,21,Male,Other,High School,10.889226642983372,25,Yes,Moderate,1,0,1,0,2.83
1179,19,Female,Caucasian,High School,3.368811022638305,2,No,Moderate,1,0,0,0,3.92
1180,21,Male,Other,Some College,15.209292125521333,1,No,High,1,0,0,1,4.46
1181,19,Male,Caucasian,Some College,19.698582168829834,5,Yes,High,0,0,0,0,4.39
1182,21,Male,Caucasian,High School,18.915494340169218,20,No,High,1,0,0,0,3.29
1183,20,Male,Caucasian,Higher,3.9421207764730437,8,No,Moderate,1,1,0,0,3.75
1184,21,Female,African American,Some College,17.507264798015214,9,Yes,Very High,1,1,0,0,4.46
1185,19,Male,Other,Higher,14.089872728233694,3,No,High,0,0,0,0,4.25
1186,19,Male,African American,Some College,9.076931276138232,26,Yes,High,1,0,0,0,2.67
1187,20,Female,Caucasian,Some College,10.812219886494582,2,No,High,0,0,0,0,4.22
1188,21,Female,African American,Bachelor's,16.99200349964916,8,No,Low,1,0,0,0,4.01
1189,21,Female,Caucasian,Some College,9.602698792767463,23,No,Very Low,1,1,0,0,2.91
1190,20,Male,Asian,Some College,7.464147382102537,21,Yes,High,0,0,0,0,3.02
1191,21,Female,African American,High School,9.864949860519715,16,No,Moderate,0,0,0,1,3.14
1192,21,Female,Caucasian,Some College,11.582596080700982,13,Yes,High,0,0,0,0,3.67
1193,19,Male,African American,High School,3.781553075566977,9,No,Moderate,1,0,0,0,3.6
1194,21,Female,African American,High School,18.018154605339813,12,No,Moderate,0,0,0,0,3.69
1195,21,Female,Caucasian,No,13.483738976592276,11,Yes,Low,1,0,1,0,4.06
1196,20,Female,African American,No,12.665378346749778,26,No,High,1,1,0,0,2.67
1197,20,Female,Caucasian,Higher,1.9899245236127627,0,No,Low,1,0,0,1,4.34
1198,22,Male,Asian,High School,12.083478763451836,27,No,High,1,0,1,0,2.97
1199,19,Female,Asian,Some College,2.4192132447698467,21,No,Moderate,0,0,0,0,2.43
1200,21,Female,Asian,Bachelor's,1.573953503907981,28,No,High,1,0,0,0,2.44
1201,21,Male,African American,Some College,10.546217912847865,18,No,Low,0,0,1,0,3.23
1202,22,Female,African American,High School,8.055710680929899,18,No,Low,0,0,0,0,2.93
1203,21,Male,Caucasian,Some College,11.776205403124465,5,No,High,0,1,0,1,4.23
1204,19,Female,Asian,Some College,1.7844433611447719,12,No,Moderate,1,0,0,0,3.51
1205,22,Male,Caucasian,Some College,8.619661256945168,18,No,Low,1,0,0,0,2.86
1206,19,Male,Caucasian,Some College,3.4957343009031594,12,Yes,Very High,0,0,0,0,3.64
1207,22,Male,Caucasian,Higher,19.74200171848233,26,Yes,Low,1,0,0,0,2.71
1208,22,Male,Caucasian,Some College,11.223004248703488,25,No,Moderate,1,0,0,0,2.43
1209,20,Female,African American,High School,13.748737218817347,21,No,Low,0,0,0,0,2.73
1210,19,Male,Caucasian,Some College,6.508365613652156,20,Yes,Moderate,1,0,1,1,3.24
1211,21,Female,Asian,No,1.894778295586883,3,No,Moderate,0,0,1,0,4.13
1212,21,Male,Caucasian,Bachelor's,19.517417255670733,23,No,Low,0,0,1,1,2.14
1213,19,Male,Caucasian,High School,5.7251807076636645,1,No,High,1,0,0,0,4.44
1214,21,Male,African American,High School,8.476163703471485,14,Yes,Moderate,0,0,0,0,3.44
1215,21,Female,Caucasian,Bachelor's,12.9972784340515,11,No,High,0,0,0,0,3.52
1216,19,Male,Caucasian,Some College,0.4939459537222257,29,Yes,Low,1,0,0,0,2.09
1217,22,Female,Asian,High School,16.205182610345737,26,Yes,Moderate,1,0,0,0,2.97
1218,19,Female,Caucasian,Some College,10.731563800572406,6,No,Very Low,1,0,1,0,3.94
1219,22,Female,Asian,Bachelor's,5.564343741376443,19,Yes,High,0,0,0,0,3.1
1220,21,Female,Caucasian,High School,1.232159705849385,17,No,High,0,0,0,0,3.1
1221,21,Female,Caucasian,Bachelor's,3.2499683094888288,22,No,High,1,1,0,1,3.28
1222,21,Female,Asian,No,17.900677177068737,12,No,Moderate,0,1,0,1,3.72
1223,20,Female,Caucasian,Some College,13.72048447871782,16,No,High,0,0,1,0,3.47
1224,22,Female,Caucasian,Bachelor's,4.998034432737796,3,No,High,0,0,0,0,3.97
1225,20,Female,Caucasian,High School,1.3120152989005907,24,No,Very Low,1,0,0,0,2.58
1226,20,Male,Caucasian,Some College,13.812306247732726,13,No,Low,0,0,1,0,3.35
1227,19,Male,Asian,High School,11.448154519355302,19,No,Moderate,0,0,0,0,2.66
1228,20,Male,Caucasian,Some College,8.090390489164701,27,No,High,0,1,0,0,2.61
1229,19,Male,Asian,Some College,7.272228983801277,12,Yes,Very Low,0,0,0,0,3.08
1230,19,Male,Asian,Some College,4.336285518582166,2,No,High,0,1,0,0,4.5
1231,20,Female,Caucasian,High School,13.392225130750353,25,No,Moderate,0,0,0,0,2.61
1232,22,Female,Other,High School,19.41336055587741,25,No,Moderate,0,0,0,0,2.51
1233,22,Female,Caucasian,No,3.514304916736517,17,No,Low,0,1,0,1,3.04
1234,22,Female,Other,High School,11.942332400310068,13,No,Moderate,0,1,0,1,3.49
1235,22,Female,Caucasian,Some College,8.483701114919524,14,No,Very Low,0,1,0,0,3.23
1236,22,Female,African American,Bachelor's,8.933774434893298,2,No,Very Low,0,1,0,0,3.88
1237,20,Female,Caucasian,Some College,5.082945602556288,0,No,High,0,0,1,0,4.24
1238,20,Male,Caucasian,Some College,16.50269751322838,25,Yes,Moderate,0,0,1,0,2.94
1239,21,Male,African American,Higher,9.705112082944822,23,Yes,Moderate,0,0,0,0,3.06
1240,22,Male,Asian,Some College,10.868117043965281,16,No,Low,1,0,1,0,3.2
1241,20,Male,Caucasian,Bachelor's,6.095218255946515,2,Yes,Moderate,0,1,0,0,4.32
1242,21,Female,Caucasian,Some College,3.636169313338995,13,No,Very Low,1,1,0,0,3.23
1243,22,Female,Asian,High School,1.7182077640564097,2,No,Moderate,0,1,0,0,3.94
1244,19,Female,African American,No,14.282382818498318,12,Yes,Moderate,0,0,0,0,3.79
1245,21,Male,Other,Some College,3.9246856337571123,14,No,Moderate,1,0,0,0,3.42
1246,20,Female,Asian,High School,13.801507083775954,17,No,Very High,0,1,0,0,3.58
1247,19,Female,Other,High School,7.8075289209390775,13,No,Moderate,0,0,0,0,3.28
1248,19,Female,Asian,Some College,8.315496019793029,20,No,Moderate,1,0,0,0,2.78
1249,19,Male,Caucasian,Some College,9.383549921855433,25,No,Moderate,0,1,0,0,2.9
1250,21,Female,Caucasian,Some College,7.354170162550863,2,No,Low,0,0,1,0,3.99
1251,20,Male,Asian,High School,2.0123995444518017,18,No,High,0,1,0,0,2.93
1252,19,Male,African American,High School,6.192636200056915,7,No,Moderate,1,0,0,0,3.6
1253,22,Male,Caucasian,Some College,13.274687213878769,3,Yes,Low,1,0,0,0,4.19
1254,19,Male,Caucasian,Higher,13.31568802937742,3,No,High,0,0,0,1,4.34
1255,19,Female,Other,Some College,5.724486144799887,18,Yes,Very Low,0,0,0,0,2.78
1256,21,Male,African American,Bachelor's,9.20205253115376,10,No,Very High,1,0,0,1,3.8
1257,21,Male,Caucasian,Some College,3.8689445602387496,0,Yes,High,0,0,0,0,4.37
1258,20,Female,Caucasian,Some College,4.2074416305967155,7,Yes,Moderate,0,1,1,0,4.04
1259,22,Female,Caucasian,High School,0.46094176813214816,14,No,Low,1,1,0,0,3.15
1260,21,Male,Caucasian,Some College,17.934930998154893,0,No,Low,0,0,0,0,4.6
1261,19,Female,Caucasian,Some College,4.214133301498125,6,No,Low,1,0,0,0,3.73
1262,20,Male,Caucasian,Some College,4.550677538729266,20,Yes,Low,1,0,0,0,2.95
1263,19,Male,Asian,Some College,5.592028652902636,19,No,Moderate,1,1,0,1,3.11
1264,19,Male,Caucasian,Some College,2.54816143390858,19,No,Very High,0,0,1,1,3.08
1265,21,Male,Asian,High School,12.785257663627256,23,No,Moderate,0,0,0,0,2.61
1266,20,Female,Asian,Some College,1.5028590635517314,10,Yes,High,0,0,0,0,3.61
1267,22,Male,Caucasian,High School,2.6840485265270053,26,No,High,0,0,0,0,2.42
1268,22,Female,African American,Bachelor's,12.895134531801858,28,No,High,0,0,0,0,2.44
1269,21,Female,Caucasian,High School,6.793212409628855,13,No,Very Low,0,1,1,1,3.2
1270,21,Female,Asian,No,14.158956534023782,21,Yes,Moderate,0,1,0,0,2.75
1271,20,Female,Caucasian,Some College,11.148494893402841,15,No,High,0,0,0,0,3.25
1272,22,Male,African American,Some College,5.120423461230262,13,No,High,0,0,0,1,3.15
1273,22,Female,African American,Some College,13.016559009786562,11,No,Very High,0,0,0,0,3.65
1274,22,Male,Caucasian,High School,2.325473605857613,16,No,High,0,0,0,1,2.87
1275,19,Female,Caucasian,Some College,10.728207661600608,13,Yes,Low,0,0,0,0,3.62
1276,22,Female,African American,High School,8.742962100900693,9,No,Moderate,1,0,0,1,3.94
1277,19,Male,Asian,Bachelor's,5.357471656348816,23,No,Very Low,1,1,0,0,2.68
1278,20,Male,Caucasian,Bachelor's,12.080099954790002,28,Yes,High,0,0,0,0,2.52
1279,19,Male,African American,Some College,17.42667184680565,13,Yes,Moderate,0,0,0,0,3.6
1280,20,Female,Caucasian,High School,19.978093995261535,17,No,High,0,0,0,0,3.16
1281,22,Female,Asian,Some College,12.15525537486849,21,No,Very High,0,0,0,1,3.16
1282,22,Male,Caucasian,No,8.094117486583404,8,Yes,High,0,0,1,0,4.22
1283,20,Male,Asian,Some College,4.5041420043240326,16,No,Moderate,1,0,0,1,3.23
1284,21,Male,Caucasian,High School,5.141921787902235,5,Yes,Low,0,0,0,0,3.75
1285,20,Male,Caucasian,Bachelor's,9.589099562995314,7,Yes,High,1,1,1,0,4.45
1286,21,Female,Caucasian,No,7.3455540256141845,25,No,Low,0,0,0,0,2.26
1287,19,Male,Caucasian,Some College,18.276290452498884,12,Yes,Low,0,0,0,0,3.42
1288,19,Male,African American,Some College,7.365909353114191,17,No,Low,0,0,0,0,3.09
1289,19,Male,Caucasian,Some College,7.468891822908709,4,No,Moderate,1,0,0,0,3.92
1290,22,Male,Asian,No,7.67069024867954,5,No,Low,0,0,0,0,3.67
1291,19,Female,Caucasian,Higher,16.732404207353163,20,Yes,Very High,0,1,1,0,3.39
1292,21,Male,Caucasian,Some College,13.015766416938037,18,No,Very High,1,0,0,0,3.39
1293,19,Female,Caucasian,Some College,12.283377006377854,3,No,Very High,0,0,1,0,4.45
1294,20,Male,Caucasian,High School,6.6828604476772435,6,Yes,Very Low,0,0,0,1,3.91
1295,20,Male,Caucasian,Some College,16.35808353664879,3,No,Very High,0,0,0,0,4.33
1296,22,Female,Caucasian,Some College,0.7672772271140227,24,No,Very High,0,0,1,0,2.49
1297,20,Male,Caucasian,No,17.415943446762263,10,Yes,Very High,0,1,0,0,4.32
1298,21,Female,Caucasian,High School,10.254997995878592,11,Yes,High,0,0,0,0,3.49
1299,19,Female,African American,Bachelor's,7.965004697268256,13,Yes,High,0,1,0,0,3.95
1300,22,Male,African American,High School,9.943345614353714,12,Yes,Low,0,0,0,0,3.3
1301,19,Female,Caucasian,High School,13.348310610676622,28,No,High,1,0,0,0,2.84
1302,19,Female,Caucasian,Some College,0.2553085303579472,9,No,Very Low,1,0,0,0,3.24
1303,21,Female,Other,Some College,17.431037129164956,17,No,Moderate,0,0,0,0,3.0
1304,20,Female,African American,No,8.934790506227856,15,No,Very High,0,0,0,0,3.49
1305,20,Female,African American,Some College,6.859330394001564,4,No,Moderate,0,1,1,0,4.3
1306,19,Female,Caucasian,High School,2.764911312681142,7,Yes,Low,0,0,0,0,3.79
1307,22,Female,Asian,No,8.789307487168843,13,No,Very High,0,0,0,0,3.56
1308,20,Female,Asian,No,9.926455425687577,4,No,Very High,0,1,0,1,4.73
